time_s,EMG1_mV,EMG2_mV,AX_g,AY_g,AZ_g,GX_dps,GY_dps,GZ_dps
162.3,57.642666,-0.016921,0.102,0.961,0.131,-109.94,-33.41,13.23
162.305,51.280487,15.050616,0.102,0.961,0.131,-109.94,-33.41,13.23
162.31,0.002371,-0.021662,0.116,0.897,0.393,-209.63,-33.35,27.8
162.315,-0.000572,-0.02064,0.116,0.897,0.393,-209.63,-33.35,27.8
162.32,64.602058,-0.015,0.153,0.88,0.565,-196.65,-25.06,45.37
162.325,35.689056,50.365612,0.153,0.88,0.565,-196.65,-25.06,45.37
162.33,-0.005886,-0.003842,0.12,0.866,0.687,-95.85,-29.94,55.61
162.335,-0.004864,-0.010954,0.12,0.866,0.687,-95.85,-29.94,55.61
162.34,32.518551,-0.007807,0.179,0.948,0.463,-1.22,-4.63,41.4
162.345,-0.001022,25.797682,0.179,0.948,0.463,-1.22,-4.63,41.4
162.35,-0.001676,-0.018515,0.184,0.938,0.427,0.18,0.79,0.37
162.355,1.690946,-0.020313,0.184,0.938,0.427,0.18,0.79,0.37
162.36,6.966101,-0.019087,0.147,0.895,0.553,6.04,-3.84,-27.62
162.365,-0.010708,45.280842,0.147,0.895,0.553,6.04,-3.84,-27.62
162.37,-0.011853,-0.009727,0.116,0.892,0.528,60.55,9.39,-37.87
162.375,-0.010627,-0.007561,0.116,0.892,0.528,60.55,9.39,-37.87
162.38,57.734627,-0.00609,0.054,0.914,0.309,89.33,21.77,-22.2
162.385,0.169046,48.147667,0.054,0.914,0.309,89.33,21.77,-22.2
162.39,-0.007807,-0.00609,0.096,0.961,0.19,20.06,5.85,4.63
162.395,-0.013324,-0.010054,0.096,0.961,0.19,20.06,5.85,4.63
162.4,66.19754,-0.006866,0.132,0.924,0.439,-64.76,-18.96,3.9
162.405,24.739676,10.769136,0.132,0.924,0.439,-64.76,-18.96,3.9
162.41,-0.007807,-0.002698,0.119,0.885,0.588,-44.21,-10.98,-0.3
162.415,-0.009155,-0.002371,0.119,0.885,0.588,-44.21,-10.98,-0.3
162.42,46.245903,-0.008338,0.116,0.906,0.493,22.2,5.98,-0.37
162.425,20.211248,32.770729,0.116,0.906,0.493,22.2,5.98,-0.37
162.43,8.2e-05,-0.021907,0.112,0.931,0.358,42.68,10.0,-0.43
162.435,0.001471,-0.017166,0.112,0.931,0.358,42.68,10.0,-0.43
162.44,21.046993,-0.015368,0.109,0.94,0.306,4.45,2.32,-0.18
162.445,53.390369,3.440421,0.109,0.94,0.306,4.45,2.32,-0.18
162.45,-0.010259,0.106103,0.112,0.912,0.446,-38.48,-10.49,-0.37
162.455,-0.012548,-0.008256,0.112,0.912,0.446,-38.48,-10.49,-0.37
162.46,11.867687,-0.011076,0.125,0.897,0.538,-19.15,-6.04,0.55
162.465,35.151264,3.96644,0.125,0.897,0.538,-19.15,-6.04,0.55
162.47,0.001144,0.097111,0.115,0.916,0.44,23.54,6.46,-0.49
162.475,-0.000245,-0.019741,0.115,0.916,0.44,23.54,6.46,-0.49
162.48,-0.004292,-0.017616,0.106,0.93,0.351,20.79,5.49,-0.67
162.485,24.682455,10.419355,0.106,0.93,0.351,20.79,5.49,-0.67
162.49,-0.009155,0.375203,0.115,0.925,0.392,-11.1,-3.54,0.3
