sample,ch2_hpf_mV
1283,-0.263532
1284,-0.205088
1285,-0.061285
1286,0.087468
1287,0.214432
1288,0.243716
1289,0.186198
1290,0.07418
1291,-0.065232
1292,-0.206921
1293,-0.262113
1294,-0.209776
1295,-0.065261
1296,0.095837
1297,0.223983
1298,0.256325
1299,0.195351
1300,0.06261
1301,-0.082124
1302,-0.211833
1303,-0.25405
1304,-0.193995
1305,-0.064447
1306,0.07985
1307,0.21674
1308,0.252804
1309,0.184718
1310,0.055419
1311,-0.085066
1312,-0.218488
1313,-0.25908
1314,-0.197016
1315,-0.056102
1316,0.090476
1317,0.22016
1318,0.258399
1319,0.197663
1320,0.058867
1321,-0.09063
1322,-0.217363
1323,-0.259449
1324,-0.206551
1325,-0.069524
1326,0.090336
1327,0.221873
1328,0.255119
1329,0.193043
1330,0.053676
1331,-0.097621
1332,-0.220625
1333,-0.258617
1334,-0.199335
1335,-0.065948
1336,0.091983
1337,0.228627
1338,0.261822
1339,0.197324
1340,0.061017
1341,-0.088278
1342,-0.218902
1343,-0.258989
1344,-0.20286
1345,-0.067381
1346,0.086362
1347,0.218908
1348,0.250002
1349,0.184612
1350,0.050685
1351,-0.087159
1352,-0.212475
1353,-0.251278
1354,-0.193201
1355,-0.059259
1356,0.091431
1357,0.225803
1358,0.260776
1359,0.196065
1360,0.060242
1361,-0.088398
1362,-0.217327
1363,-0.256961
1364,-0.200567
1365,-0.067048
1366,0.089107
1367,0.225771
1368,0.26052
1369,0.194477
1370,0.062949
1371,-0.083006
1372,-0.212961
1373,-0.254548
1374,-0.198754
1375,-0.065041
1376,0.091459
1377,0.230033
1378,0.265233
1379,0.198416
1380,0.061217
1381,-0.086542
1382,-0.216574
1383,-0.256628
1384,-0.197708
1385,-0.065877
1386,0.086526
1387,0.227474
1388,0.267222
1389,0.197509
1390,0.056074
1391,-0.094688
1392,-0.22293
1393,-0.257962
1394,-0.195391
1395,-0.061989
1396,0.085791
1397,0.223025
1398,0.265722
1399,0.204686
1400,0.066266
1401,-0.086964
1402,-0.217776
1403,-0.256014
1404,-0.197178
1405,-0.05869
1406,0.094267
1407,0.224612
1408,0.256385
1409,0.188195
1410,0.054836
1411,-0.088607
1412,-0.216245
1413,-0.256635
1414,-0.200306
1415,-0.068414
1416,0.08056
1417,0.217634
1418,0.262202
1419,0.200432
1420,0.070129
1421,-0.085184
1422,-0.222636
1423,-0.26276
1424,-0.198515
1425,-0.057646
1426,0.094968
1427,0.22227
1428,0.254629
1429,0.195572
1430,0.064592
1431,-0.087149
1432,-0.217847
1433,-0.255782
1434,-0.198473
1435,-0.061281
1436,0.093023
1437,0.224308
1438,0.254491
1439,0.189544
1440,0.055241
1441,-0.096889
1442,-0.226054
1443,-0.259209
1444,-0.194871
1445,-0.05727
1446,0.091464
1447,0.218548
1448,0.253038
1449,0.19968
1450,0.063168
1451,-0.091842
1452,-0.220233
1453,-0.259476
1454,-0.203768
1455,-0.064034
1456,0.094224
1457,0.22865
1458,0.258978
1459,0.190709
1460,0.054002
1461,-0.094191
1462,-0.224685
1463,-0.260671
1464,-0.200458
1465,-0.062541
1466,0.090422
1467,0.231029
1468,0.267008
1469,0.202122
1470,0.065639
1471,-0.085929
1472,-0.217506
1473,-0.259909
1474,-0.200579
1475,-0.066077
1476,0.09432
1477,0.23693
1478,0.261638
1479,0.189511
1480,0.05266
1481,-0.096455
1482,-0.223824
1483,-0.258292
1484,-0.197461
1485,-0.060435
1486,0.097427
1487,0.234494
1488,0.264379
1489,0.191875
1490,0.052954
1491,-0.094644
1492,-0.220878
1493,-0.254938
1494,-0.193206
1495,-0.060012
1496,0.095459
1497,0.229636
1498,0.256405
1499,0.190382
1500,0.054316
1501,-0.094766
1502,-0.225797
1503,-0.26154
1504,-0.193948
1505,-0.056705
1506,0.09155
1507,0.233084
1508,0.269803
1509,0.192271
1510,0.049063
1511,-0.102768
1512,-0.224104
1513,-0.250197
1514,-0.183135
1515,-0.051349
1516,0.094736
1517,0.222988
1518,0.253186
1519,0.196704
1520,0.060906
1521,-0.097492
1522,-0.225363
1523,-0.259829
1524,-0.198709
1525,-0.057648
1526,0.096715
1527,0.229161
1528,0.254353
1529,0.176735
1530,0.041835
1531,-0.102512
1532,-0.219193
1533,-0.246925
1534,-0.193411
1535,-0.060119
1536,0.101234
1537,0.240476
1538,0.25575
1539,0.187322
1540,0.04897
1541,-0.104514
1542,-0.231839
1543,-0.261988
1544,-0.193173
1545,-0.046575
1546,0.104698
1547,0.227434
1548,0.252934
1549,0.183344
1550,0.044945
1551,-0.098662
1552,-0.220439
1553,-0.255145
1554,-0.189029
1555,-0.047241
1556,0.104013
1557,0.232265
1558,0.257084
1559,0.178245
1560,0.034069
1561,-0.113329
1562,0.04463
1563,-0.104639
1564,-0.226022
1565,-0.253766
1566,-0.190771
1567,-0.051822
1568,0.101985
1569,0.230625
1570,0.256234
1571,0.182292
1572,0.042837
1573,-0.10442
1574,-0.225271
1575,-0.25184
1576,-0.185255
1577,-0.049566
1578,0.100464
1579,0.22989
1580,0.25117
1581,0.176785
1582,0.037226
1583,-0.111863
1584,-0.226358
1585,-0.241547
1586,-0.167941
1587,-0.039784
1588,0.105765
1589,0.228651
1590,0.24751
1591,0.1714
1592,0.028196
1593,-0.124074
1594,-0.252677
1595,-0.27305
1596,-0.198689
1597,-0.067141
1598,0.082346
1599,0.214815
1600,0.241102
1601,0.1697
1602,0.047317
1603,-0.078842
1604,-0.20287
1605,-0.232113
1606,-0.165859
1607,-0.03372
1608,0.110995
1609,0.242091
1610,0.271698
1611,0.20172
1612,0.055212
1613,-0.087038
1614,-0.209996
1615,-0.240709
1616,-0.179434
1617,-0.050735
1618,0.09417
1619,0.217195
1620,0.251111
1621,0.195239
1622,0.055316
1623,-0.100922
1624,-0.229199
1625,-0.257996
1626,-0.189175
1627,-0.050604
1628,0.104053
1629,0.235294
1630,0.260292
1631,0.187898
1632,0.047317
1633,-0.102435
1634,-0.227795
1635,-0.258257
1636,-0.190383
1637,-0.051723
1638,0.089557
1639,0.208628
1640,0.236234
1641,0.196722
1642,0.06651
1643,-0.096971
1644,-0.227387
1645,-0.256509
1646,-0.188909
1647,-0.049412
1648,0.10637
1649,0.235974
1650,0.253535
1651,0.173641
1652,0.033291
1653,-0.10811
1654,-0.227259
1655,-0.258174
1656,-0.185225
1657,-0.054364
1658,0.092672
1659,0.234402
1660,0.276678
1661,0.190465
1662,0.04274
1663,-0.109627
1664,-0.233428
1665,-0.257936
1666,-0.186707
1667,-0.04746
1668,0.10672
1669,0.232353
1670,0.252005
1671,0.175493
1672,0.039958
1673,-0.105126
1674,-0.226372
1675,-0.255276
1676,-0.185119
1677,-0.047209
1678,0.106113
1679,0.236076
1680,0.269293
1681,0.190154
1682,0.040551
1683,-0.110877
1684,-0.232832
1685,-0.254963
1686,-0.182986
1687,-0.046734
1688,0.10119
1689,0.228069
1690,0.250272
1691,0.171956
1692,0.028986
1693,-0.113068
1694,-0.22515
1695,-0.24817
1696,-0.177884
1697,-0.041485
1698,0.111264
1699,0.239328
1700,0.253372
1701,0.176181
1702,0.03778
1703,-0.115378
1704,-0.237428
1705,-0.256944
1706,-0.177749
1707,-0.029197
1708,0.118798
1709,0.234705
1710,0.24937
1711,0.16843
1712,0.027475
1713,-0.111125
1714,-0.21768
1715,-0.241451
1716,-0.178336
1717,-0.04467
1718,0.112023
1719,0.250213
1720,0.272675
1721,0.182828
1722,0.036483
1723,-0.113628
1724,-0.232572
1725,-0.256579
1726,-0.184028
1727,-0.037346
1728,0.121008
1729,0.238872
1730,0.249588
1731,0.172331
1732,0.033686
1733,-0.111906
1734,-0.231791
1735,-0.253708
1736,-0.179351
1737,-0.038546
1738,0.10977
1739,0.229815
1740,0.246769
1741,0.168753
1742,0.027656
1743,-0.114208
1744,-0.223794
1745,-0.245088
1746,-0.171041
1747,-0.023778
1748,0.128642
1749,0.246625
1750,0.253286
1751,0.167314
1752,0.028504
1753,-0.117911
1754,-0.236782
1755,-0.252009
